id,value
UK Food Trends.Fresh and processed fruit.Fresh fruit.Fresh oranges.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Other fresh citrus fruits.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Fresh apples.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Fresh pears.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Fresh stone fruit.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Fresh grapes.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Other fresh soft fruit.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Fresh bananas.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Fresh melons.-,
UK Food Trends.Fresh and processed fruit.Fresh fruit.Other fresh fruit.-,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.-.-,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.Tinned peaches pears and pineapples.-,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.All other tinned or bottled fruit.-,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.Dried fruit.-,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.Frozen strawberries apple slices peach halves oranges and other frozen fruits.-,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.Nuts edible seeds and peanut butter.-,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.Nuts edible seeds and peanut butter.Nuts and edible seeds,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.Nuts edible seeds and peanut butter.Peanut butter,
UK Food Trends.Fresh and processed fruit.Processed fruit and fruit products.Pure fruit juices (g).-,
UK Food Trends.Bread.-.-.-,
UK Food Trends.Bread.White bread.-.-,
UK Food Trends.Bread.White bread.White bread standard unsliced.-,
UK Food Trends.Bread.White bread.White bread standard sliced.-,
UK Food Trends.Bread.White bread.White bread premium sliced and unsliced.-,
UK Food Trends.Bread.White bread.White bread soft grain sliced and unsliced.-,
UK Food Trends.Bread.Brown and wholemeal bread.-.-,
UK Food Trends.Bread.Brown and wholemeal bread.Brown bread sliced and unsliced.-,
UK Food Trends.Bread.Brown and wholemeal bread.Wholemeal and granary bread sliced and unsliced.-,
UK Food Trends.Bread.Total other bread.-.-,
UK Food Trends.Bread.Total other bread.Rolls - white brown or wholemeal.-,
UK Food Trends.Bread.Total other bread.Malt bread and fruit loaves.-,
UK Food Trends.Bread.Total other bread.Vienna and french bread.-,
UK Food Trends.Bread.Total other bread.Starch reduced bread and rolls.-,
UK Food Trends.Bread.Total other bread.Other breads.-,
UK Food Trends.Bread.Total other bread.Sandwiches.-,
UK Food Trends.Bread.Total other bread.Sandwiches from takeaway.-,
UK Food Trends.Bread.Total other bread.Takeaway breads.-,
UK Food Trends.Flour.-.-.-,
UK Food Trends.Cakes buns and pastries.-.-.-,
UK Food Trends.Cakes buns and pastries.Cakes and pastries.-.-,
UK Food Trends.Cakes buns and pastries.Cakes and pastries.Cakes and pastries not frozen.-,
UK Food Trends.Cakes buns and pastries.Cakes and pastries.Takeaway pastries.-,
UK Food Trends.Cakes buns and pastries.Buns scones and teacakes.-.-,
UK Food Trends.Biscuits and crispbreads.-.-.-,
UK Food Trends.Biscuits and crispbreads.Chocolate biscuits.-.-,
UK Food Trends.Biscuits and crispbreads.Biscuits other than chocolate.-.-,
UK Food Trends.Biscuits and crispbreads.Biscuits other than chocolate.Sweet biscuits (not chocolate) and cereal bars.-,
UK Food Trends.Biscuits and crispbreads.Biscuits other than chocolate.Cream crackers and other unsweetened biscuits.-,
UK Food Trends.Biscuits and crispbreads.Crispbread.-.-,
UK Food Trends.Other cereals and cereal products.-.-.-,
UK Food Trends.Other cereals and cereal products.Oatmeal and oat products.-.-,
UK Food Trends.Other cereals and cereal products.Breakfast cereals.-.-,
UK Food Trends.Other cereals and cereal products.Breakfast cereals.Muesli.-,
UK Food Trends.Other cereals and cereal products.Breakfast cereals.High fibre breakfast cereals.-,
UK Food Trends.Other cereals and cereal products.Breakfast cereals.Sweetened breakfast cereals.-,
UK Food Trends.Other cereals and cereal products.Breakfast cereals.Other breakfast cereals.-,
UK Food Trends.Other cereals and cereal products.Canned milk puddings.-.-,
UK Food Trends.Other cereals and cereal products.Canned milk puddings.Canned or fresh carton custard.-,
UK Food Trends.Other cereals and cereal products.Canned milk puddings.All canned milk puddings.-,
UK Food Trends.Other cereals and cereal products.Puddings.-.-,
UK Food Trends.Other cereals and cereal products.Rice.-.-,
UK Food Trends.Other cereals and cereal products.Rice.Dried rice.-,
UK Food Trends.Other cereals and cereal products.Rice.Cooked rice.-,
UK Food Trends.Other cereals and cereal products.Rice.Takeaway rice.-,
UK Food Trends.Other cereals and cereal products.Invalid foods slimming foods and sports foods.-.-,
UK Food Trends.Other cereals and cereal products.Infant cereal foods.-.-,
UK Food Trends.Other cereals and cereal products.Cakes and pastries - frozen.-.-,
UK Food Trends.Other cereals and cereal products.Pasta.-.-,
UK Food Trends.Other cereals and cereal products.Pasta.Canned pasta.-,
UK Food Trends.Other cereals and cereal products.Pasta.Dried and fresh pasta.-,
UK Food Trends.Other cereals and cereal products.Pasta.Takeaway pasta and noodles.-,
UK Food Trends.Other cereals and cereal products.Pizza.-.-,
UK Food Trends.Other cereals and cereal products.Pizza.Pizzas frozen and not frozen.-,
UK Food Trends.Other cereals and cereal products.Pizza.Takeaway pizza.-,
UK Food Trends.Other cereals and cereal products.Other cereal convenience foods.-.-,
UK Food Trends.Other cereals and cereal products.Other cereal convenience foods.Cake pudding and dessert mixes.-,
UK Food Trends.Other cereals and cereal products.Other cereal convenience foods.Cereal snacks.-,
UK Food Trends.Other cereals and cereal products.Other cereal convenience foods.Quiches and flans frozen and not frozen.-,
UK Food Trends.Other cereals and cereal products.Other cereal convenience foods.Takeaway crisps savoury snacks popcorn popadums prawn crackers.-,
UK Food Trends.Other cereals and cereal products.Other cereal convenience foods.Other cereal foods frozen and not frozen.-,
